participant_id,age,age_group,gender,race_ethnicity,nationality,country_of_residence,education_level,employment_status,occupation_category,relationship_status
P0001,16,13-17,Female,South Asian,Indian,India,High school,Student,Education,Single
P0002,17,13-17,Male,East Asian,Chinese,China,High school,Student,Education,Single
P0003,15,13-17,Female,Black/African,Nigerian,Nigeria,High school,Student,Education,Single
P0004,19,18-22,Male,White/Caucasian,American,USA,High school,Student,Education,Single
P0005,18,18-22,Female,Hispanic/Latino,Mexican,Mexico,High school,Student,Education,Single
P0006,16,13-17,Male,South Asian,Pakistani,Pakistan,High school,Student,Education,Single
P0007,21,18-22,Female,White/Caucasian,British,UK,Undergraduate,Student,Education,Single
P0008,20,18-22,Male,East Asian,Japanese,Japan,Undergraduate,Student,Education,Single
P0009,22,18-22,Female,South Asian,Bangladeshi,Bangladesh,Undergraduate,Student,Education,Single
P0010,17,13-17,Male,Black/African,Kenyan,Kenya,High school,Student,Education,Single
P0011,23,18-22,Female,White/Caucasian,Australian,Australia,Undergraduate,Student,Education,In a relationship
P0012,19,18-22,Male,Hispanic/Latino,Brazilian,Brazil,High school,Student,Education,Single
P0013,21,18-22,Female,Middle Eastern,Saudi,Saudi Arabia,Undergraduate,Student,Education,Single
P0014,24,23-27,Male,South Asian,Indian,India,Undergraduate,Student,Education,Single
P0015,20,18-22,Female,East Asian,South Korean,South Korea,Undergraduate,Student,Education,Single
P0016,18,18-22,Male,White/Caucasian,Canadian,Canada,High school,Student,Education,Single
P0017,22,18-22,Female,Black/African,South African,South Africa,Undergraduate,Student,Education,Single
P0018,25,23-27,Male,East Asian,Chinese,China,Undergraduate,Full-time employed,Technology,Single
P0019,16,13-17,Female,Hispanic/Latino,Colombian,Colombia,High school,Student,Education,Single
P0020,21,18-22,Male,South Asian,Indian,India,Undergraduate,Student,Education,Single
P0021,17,13-17,Female,White/Caucasian,American,USA,High school,Student,Education,Single
P0022,23,23-27,Male,East Asian,Japanese,Japan,Undergraduate,Part-time employed,Retail,In a relationship
P0023,19,18-22,Female,Black/African,Ghanaian,Ghana,High school,Student,Education,Single
P0024,20,18-22,Male,Hispanic/Latino,Argentinian,Argentina,Undergraduate,Student,Education,Single
P0025,22,18-22,Female,South Asian,Sri Lankan,Sri Lanka,Undergraduate,Student,Education,Single
P0026,18,18-22,Male,White/Caucasian,German,Germany,High school,Student,Education,Single
P0027,24,23-27,Female,East Asian,South Korean,South Korea,Undergraduate,Part-time employed,Creative,In a relationship
P0028,21,18-22,Male,South Asian,Nepali,Nepal,Undergraduate,Student,Education,Single
P0029,17,13-17,Female,Middle Eastern,Turkish,Turkey,High school,Student,Education,Single
P0030,20,18-22,Male,Black/African,Ethiopian,Ethiopia,High school,Student,Education,Single
P0031,23,23-27,Female,White/Caucasian,French,France,Undergraduate,Student,Education,In a relationship
P0032,19,18-22,Male,East Asian,Filipino,Philippines,High school,Student,Education,Single
P0033,22,18-22,Female,South Asian,Indian,India,Undergraduate,Student,Education,Single
P0034,25,23-27,Male,White/Caucasian,American,USA,Undergraduate,Full-time employed,Technology,In a relationship
P0035,16,13-17,Female,Black/African,Nigerian,Nigeria,High school,Student,Education,Single
P0036,21,18-22,Male,Hispanic/Latino,Mexican,Mexico,Undergraduate,Student,Education,Single
P0037,24,23-27,Female,East Asian,Chinese,China,Undergraduate,Student,Education,In a relationship
P0038,18,18-22,Male,South Asian,Pakistani,Pakistan,High school,Student,Education,Single
P0039,20,18-22,Female,White/Caucasian,British,UK,Undergraduate,Part-time employed,Retail,Single
P0040,22,18-22,Male,Middle Eastern,Iranian,Iran,Undergraduate,Student,Education,Single
P0041,19,18-22,Female,East Asian,Vietnamese,Vietnam,High school,Student,Education,Single
P0042,23,23-27,Male,Black/African,Cameroonian,Cameroon,Undergraduate,Student,Education,Single
P0043,21,18-22,Female,Hispanic/Latino,Venezuelan,Venezuela,Undergraduate,Student,Education,Single
P0044,17,13-17,Male,White/Caucasian,Australian,Australia,High school,Student,Education,Single
P0045,24,23-27,Female,South Asian,Indian,India,Undergraduate,Full-time employed,Technology,In a relationship
P0046,20,18-22,Male,East Asian,Thai,Thailand,Undergraduate,Student,Education,Single
P0047,16,13-17,Female,White/Caucasian,Canadian,Canada,High school,Student,Education,Single
P0048,22,18-22,Male,Black/African,Zimbabwean,Zimbabwe,Undergraduate,Student,Education,Single
P0049,25,23-27,Female,East Asian,Malaysian,Malaysia,Undergraduate,Full-time employed,Finance,Single
P0050,18,18-22,Male,Hispanic/Latino,Peruvian,Peru,High school,Student,Education,Single
P0051,21,18-22,Female,Middle Eastern,Lebanese,Lebanon,Undergraduate,Student,Education,Single
P0052,23,23-27,Male,White/Caucasian,American,USA,Undergraduate,Part-time employed,Hospitality,In a relationship
P0053,19,18-22,Female,South Asian,Bangladeshi,Bangladesh,High school,Student,Education,Single
